Drug 1,Drug 2,Interaction Description,severity,desc_len
Amiodarone,Topiroxostat,The metabolism of Topiroxostat can be decreased when combined with Amiodarone.,Moderada,78
Fluoxetine,Topiroxostat,The metabolism of Topiroxostat can be decreased when combined with Fluoxetine.,Moderada,78
Lovastatin,Topiroxostat,The serum concentration of Topiroxostat can be increased when it is combined with Lovastatin.,Moderada,93
Dihydroergotamine,Topiroxostat,The risk or severity of adverse effects can be increased when Dihydroergotamine is combined with Topiroxostat.,Moderada,110
Methadone,Topiroxostat,The metabolism of Topiroxostat can be decreased when combined with Methadone.,Moderada,77
Haloperidol,Topiroxostat,The metabolism of Topiroxostat can be decreased when combined with Haloperidol.,Moderada,79
Clozapine,Topiroxostat,The metabolism of Topiroxostat can be decreased when combined with Clozapine.,Moderada,77
Promazine,Topiroxostat,The metabolism of Topiroxostat can be decreased when combined with Promazine.,Moderada,77
Sildenafil,Topiroxostat,The metabolism of Topiroxostat can be decreased when combined with Sildenafil.,Moderada,78
Morphine,Topiroxostat,The metabolism of Topiroxostat can be decreased when combined with Morphine.,Moderada,76
Nicardipine,Topiroxostat,The metabolism of Topiroxostat can be decreased when combined with Nicardipine.,Moderada,79
Losartan,Topiroxostat,The metabolism of Topiroxostat can be decreased when combined with Losartan.,Moderada,76
Voriconazole,Topiroxostat,The metabolism of Topiroxostat can be decreased when combined with Voriconazole.,Moderada,80
Amitriptyline,Topiroxostat,The metabolism of Topiroxostat can be decreased when combined with Amitriptyline.,Moderada,81
Venlafaxine,Topiroxostat,The metabolism of Topiroxostat can be decreased when combined with Venlafaxine.,Moderada,79
Sertraline,Topiroxostat,The metabolism of Topiroxostat can be decreased when combined with Sertraline.,Moderada,78
Doxepin,Topiroxostat,The metabolism of Topiroxostat can be decreased when combined with Doxepin.,Moderada,75
Atazanavir,Topiroxostat,The metabolism of Topiroxostat can be decreased when combined with Atazanavir.,Moderada,78
Rifabutin,Omeprazole,The metabolism of Omeprazole can be increased when combined with Rifabutin.,Moderada,75
Phenytoin,Omeprazole,The serum concentration of Omeprazole can be decreased when it is combined with Phenytoin.,Moderada,90
Rifampicin,Omeprazole,The serum concentration of Omeprazole can be decreased when it is combined with Rifampicin.,Moderada,91
Fosphenytoin,Omeprazole,The serum concentration of Omeprazole can be increased when it is combined with Fosphenytoin.,Moderada,93
Carbamazepine,Omeprazole,The metabolism of Omeprazole can be increased when combined with Carbamazepine.,Moderada,79
Primidone,Omeprazole,The metabolism of Omeprazole can be increased when combined with Primidone.,Moderada,75
Phenobarbital,Omeprazole,The metabolism of Omeprazole can be increased when combined with Phenobarbital.,Moderada,79
Pentobarbital,Omeprazole,The metabolism of Omeprazole can be increased when combined with Pentobarbital.,Moderada,79
Nevirapine,Omeprazole,The metabolism of Omeprazole can be increased when combined with Nevirapine.,Moderada,76
Rifapentine,Omeprazole,The metabolism of Omeprazole can be increased when combined with Rifapentine.,Moderada,77
Bosentan,Omeprazole,The serum concentration of Omeprazole can be increased when it is combined with Bosentan.,Moderada,89
Metoprolol,Omeprazole,The serum concentration of Omeprazole can be increased when it is combined with Metoprolol.,Moderada,91
Doxorubicin,Omeprazole,The serum concentration of Omeprazole can be increased when it is combined with Doxorubicin.,Moderada,92
Dabrafenib,Omeprazole,The serum concentration of Omeprazole can be decreased when it is combined with Dabrafenib.,Moderada,91
Deferasirox,Omeprazole,The serum concentration of Omeprazole can be decreased when it is combined with Deferasirox.,Moderada,92
Conivaptan,Omeprazole,The serum concentration of Omeprazole can be increased when it is combined with Conivaptan.,Moderada,91
Azelastine,Omeprazole,The metabolism of Omeprazole can be decreased when combined with Azelastine.,Moderada,76
Quinine,Omeprazole,The metabolism of Omeprazole can be decreased when combined with Quinine.,Moderada,73
Bromocriptine,Omeprazole,The risk or severity of adverse effects can be increased when Bromocriptine is combined with Omeprazole.,Moderada,104
Celecoxib,Omeprazole,The metabolism of Omeprazole can be decreased when combined with Celecoxib.,Moderada,75
Quinidine,Omeprazole,The metabolism of Omeprazole can be decreased when combined with Quinidine.,Moderada,75
Ranolazine,Omeprazole,The serum concentration of Omeprazole can be increased when it is combined with Ranolazine.,Moderada,91
Citalopram,Omeprazole,The serum concentration of Omeprazole can be increased when it is combined with Citalopram.,Moderada,91
Fluoxetine,Omeprazole,The metabolism of Omeprazole can be decreased when combined with Fluoxetine.,Moderada,76
Saquinavir,Omeprazole,The serum concentration of Omeprazole can be increased when it is combined with Saquinavir.,Moderada,91
Quetiapine,Omeprazole,The metabolism of Omeprazole can be decreased when combined with Quetiapine.,Moderada,76
Thioridazine,Omeprazole,The serum concentration of Omeprazole can be increased when it is combined with Thioridazine.,Moderada,93
Methadone,Omeprazole,The metabolism of Omeprazole can be decreased when combined with Methadone.,Moderada,75
Haloperidol,Omeprazole,The metabolism of Omeprazole can be decreased when combined with Haloperidol.,Moderada,77
Cyclosporine,Omeprazole,The serum concentration of Omeprazole can be increased when it is combined with Cyclosporine.,Moderada,93
Promazine,Omeprazole,The metabolism of Omeprazole can be decreased when combined with Promazine.,Moderada,75
Secobarbital,Omeprazole,The metabolism of Omeprazole can be increased when combined with Secobarbital.,Moderada,78
Imipramine,Omeprazole,The metabolism of Omeprazole can be decreased when combined with Imipramine.,Moderada,76
Clomipramine,Omeprazole,The metabolism of Omeprazole can be decreased when combined with Clomipramine.,Moderada,78
Desipramine,Omeprazole,The metabolism of Omeprazole can be decreased when combined with Desipramine.,Moderada,77
Amitriptyline,Omeprazole,The metabolism of Omeprazole can be decreased when combined with Amitriptyline.,Moderada,79
Sertraline,Omeprazole,The metabolism of Omeprazole can be decreased when combined with Sertraline.,Moderada,76
Doxepin,Omeprazole,The metabolism of Omeprazole can be decreased when combined with Doxepin.,Moderada,73
Atazanavir,Omeprazole,Atazanavir can cause a decrease in the absorption of Omeprazole resulting in a reduced serum concentration and potentially a decrease in efficacy.,Moderada,146
Phenytoin,Capecitabine,The serum concentration of Capecitabine can be increased when it is combined with Phenytoin.,Moderada,92
Rifampicin,Capecitabine,The metabolism of Capecitabine can be decreased when combined with Rifampicin.,Moderada,78
Fosphenytoin,Capecitabine,The serum concentration of Capecitabine can be increased when it is combined with Fosphenytoin.,Moderada,95
Phenobarbital,Capecitabine,The metabolism of Capecitabine can be decreased when combined with Phenobarbital.,Moderada,81
Nevirapine,Capecitabine,The metabolism of Capecitabine can be decreased when combined with Nevirapine.,Moderada,78
Bosentan,Capecitabine,The serum concentration of Capecitabine can be increased when it is combined with Bosentan.,Moderada,91
Bortezomib,Capecitabine,The metabolism of Capecitabine can be decreased when combined with Bortezomib.,Moderada,78
Diltiazem,Capecitabine,The metabolism of Capecitabine can be decreased when combined with Diltiazem.,Moderada,77
Verapamil,Capecitabine,The metabolism of Capecitabine can be decreased when combined with Verapamil.,Moderada,77
Azelastine,Capecitabine,The metabolism of Capecitabine can be decreased when combined with Azelastine.,Moderada,78
Sulfisoxazole,Capecitabine,The metabolism of Capecitabine can be decreased when combined with Sulfisoxazole.,Moderada,81
Quinine,Capecitabine,The metabolism of Capecitabine can be decreased when combined with Quinine.,Moderada,75
Celecoxib,Capecitabine,The metabolism of Capecitabine can be decreased when combined with Celecoxib.,Moderada,77
Quinidine,Capecitabine,The metabolism of Capecitabine can be decreased when combined with Quinidine.,Moderada,77
Amiodarone,Capecitabine,The metabolism of Capecitabine can be decreased when combined with Amiodarone.,Moderada,78
Fluoxetine,Capecitabine,The metabolism of Capecitabine can be decreased when combined with Fluoxetine.,Moderada,78
Methadone,Capecitabine,The metabolism of Capecitabine can be decreased when combined with Methadone.,Moderada,77
Haloperidol,Capecitabine,The metabolism of Capecitabine can be decreased when combined with Haloperidol.,Moderada,79
Promazine,Capecitabine,The metabolism of Capecitabine can be decreased when combined with Promazine.,Moderada,77
Sildenafil,Capecitabine,The metabolism of Capecitabine can be decreased when combined with Sildenafil.,Moderada,78
Losartan,Capecitabine,The metabolism of Capecitabine can be decreased when combined with Losartan.,Moderada,76
Voriconazole,Capecitabine,The metabolism of Capecitabine can be decreased when combined with Voriconazole.,Moderada,80
Amitriptyline,Capecitabine,The metabolism of Capecitabine can be decreased when combined with Amitriptyline.,Moderada,81
Venlafaxine,Capecitabine,The metabolism of Capecitabine can be decreased when combined with Venlafaxine.,Moderada,79
Sertraline,Capecitabine,The metabolism of Capecitabine can be decreased when combined with Sertraline.,Moderada,78
Doxepin,Capecitabine,The metabolism of Capecitabine can be decreased when combined with Doxepin.,Moderada,75
Atazanavir,Capecitabine,The metabolism of Capecitabine can be decreased when combined with Atazanavir.,Moderada,78
Rifabutin,Modafinil,The metabolism of Modafinil can be increased when combined with Rifabutin.,Moderada,74
Phenytoin,Modafinil,The metabolism of Modafinil can be increased when combined with Phenytoin.,Moderada,74
Rifampicin,Modafinil,The metabolism of Modafinil can be increased when combined with Rifampicin.,Moderada,75
Fosphenytoin,Modafinil,The metabolism of Modafinil can be increased when combined with Fosphenytoin.,Moderada,77
Carbamazepine,Modafinil,The metabolism of Modafinil can be increased when combined with Carbamazepine.,Moderada,78
Primidone,Modafinil,The metabolism of Modafinil can be increased when combined with Primidone.,Moderada,74
Phenobarbital,Modafinil,The metabolism of Modafinil can be increased when combined with Phenobarbital.,Moderada,78
Pentobarbital,Modafinil,The metabolism of Modafinil can be increased when combined with Pentobarbital.,Moderada,78
Nevirapine,Modafinil,The metabolism of Modafinil can be increased when combined with Nevirapine.,Moderada,75
Rifapentine,Modafinil,The metabolism of Modafinil can be increased when combined with Rifapentine.,Moderada,76
Bosentan,Modafinil,The serum concentration of Modafinil can be decreased when it is combined with Bosentan.,Moderada,88
Lumacaftor,Modafinil,The metabolism of Modafinil can be increased when combined with Lumacaftor.,Moderada,75
Metoprolol,Modafinil,The metabolism of Modafinil can be decreased when combined with Metoprolol.,Moderada,75
Dabrafenib,Modafinil,The serum concentration of Modafinil can be decreased when it is combined with Dabrafenib.,Moderada,90
Deferasirox,Modafinil,The serum concentration of Modafinil can be decreased when it is combined with Deferasirox.,Moderada,91
Conivaptan,Modafinil,The serum concentration of Modafinil can be increased when it is combined with Conivaptan.,Moderada,90
Vemurafenib,Modafinil,The serum concentration of Modafinil can be decreased when it is combined with Vemurafenib.,Moderada,91
Azelastine,Modafinil,The metabolism of Modafinil can be decreased when combined with Azelastine.,Moderada,75
Quinine,Modafinil,The metabolism of Modafinil can be decreased when combined with Quinine.,Moderada,72
Bromocriptine,Modafinil,The risk or severity of adverse effects can be increased when Bromocriptine is combined with Modafinil.,Moderada,103
Citalopram,Modafinil,The serum concentration of Modafinil can be increased when it is combined with Citalopram.,Moderada,90
Fluoxetine,Modafinil,The metabolism of Modafinil can be decreased when combined with Fluoxetine.,Moderada,75
Quetiapine,Modafinil,The metabolism of Modafinil can be decreased when combined with Quetiapine.,Moderada,75
Thioridazine,Modafinil,The metabolism of Modafinil can be decreased when combined with Thioridazine.,Moderada,77
Methadone,Modafinil,The metabolism of Modafinil can be decreased when combined with Methadone.,Moderada,74
Haloperidol,Modafinil,The metabolism of Modafinil can be decreased when combined with Haloperidol.,Moderada,76
Clozapine,Modafinil,The metabolism of Modafinil can be decreased when combined with Clozapine.,Moderada,74
Promazine,Modafinil,The metabolism of Modafinil can be decreased when combined with Promazine.,Moderada,74
Imipramine,Modafinil,The metabolism of Modafinil can be decreased when combined with Imipramine.,Moderada,75
Clomipramine,Modafinil,The metabolism of Modafinil can be decreased when combined with Clomipramine.,Moderada,77
Desipramine,Modafinil,The metabolism of Modafinil can be decreased when combined with Desipramine.,Moderada,76
Amitriptyline,Modafinil,The metabolism of Modafinil can be decreased when combined with Amitriptyline.,Moderada,78
Sertraline,Modafinil,The metabolism of Modafinil can be decreased when combined with Sertraline.,Moderada,75
Doxepin,Modafinil,The metabolism of Modafinil can be decreased when combined with Doxepin.,Moderada,72
Phenytoin,Chloramphenicol,The metabolism of Chloramphenicol can be decreased when combined with Phenytoin.,Moderada,80
Rifampicin,Chloramphenicol,The metabolism of Chloramphenicol can be increased when combined with Rifampicin.,Moderada,81
Fosphenytoin,Chloramphenicol,The metabolism of Chloramphenicol can be decreased when combined with Fosphenytoin.,Moderada,83
Carbamazepine,Chloramphenicol,The metabolism of Chloramphenicol can be increased when combined with Carbamazepine.,Moderada,84
Primidone,Chloramphenicol,The metabolism of Chloramphenicol can be decreased when combined with Primidone.,Moderada,80
Phenobarbital,Chloramphenicol,The metabolism of Chloramphenicol can be decreased when combined with Phenobarbital.,Moderada,84
Pentobarbital,Chloramphenicol,The metabolism of Chloramphenicol can be decreased when combined with Pentobarbital.,Moderada,84
Lumacaftor,Chloramphenicol,The serum concentration of Chloramphenicol can be decreased when it is combined with Lumacaftor.,Moderada,96
Bortezomib,Chloramphenicol,The metabolism of Chloramphenicol can be decreased when combined with Bortezomib.,Moderada,81
Metoprolol,Chloramphenicol,The metabolism of Chloramphenicol can be decreased when combined with Metoprolol.,Moderada,81
Dabrafenib,Chloramphenicol,The serum concentration of Chloramphenicol can be decreased when it is combined with Dabrafenib.,Moderada,96
Diltiazem,Chloramphenicol,The metabolism of Chloramphenicol can be decreased when combined with Diltiazem.,Moderada,80
Verapamil,Chloramphenicol,The metabolism of Chloramphenicol can be decreased when combined with Verapamil.,Moderada,80
Azelastine,Chloramphenicol,The metabolism of Chloramphenicol can be decreased when combined with Azelastine.,Moderada,81
Quinine,Chloramphenicol,The metabolism of Chloramphenicol can be decreased when combined with Quinine.,Moderada,78
Bromocriptine,Chloramphenicol,The risk or severity of adverse effects can be increased when Bromocriptine is combined with Chloramphenicol.,Moderada,109
Lopinavir,Chloramphenicol,The metabolism of Chloramphenicol can be increased when combined with Lopinavir.,Moderada,80
Citalopram,Chloramphenicol,The serum concentration of Chloramphenicol can be increased when it is combined with Citalopram.,Moderada,96
Amiodarone,Chloramphenicol,The metabolism of Chloramphenicol can be decreased when combined with Amiodarone.,Moderada,81
Clarithromycin,Chloramphenicol,The metabolism of Chloramphenicol can be decreased when combined with Clarithromycin.,Moderada,85
Fluoxetine,Chloramphenicol,The metabolism of Chloramphenicol can be decreased when combined with Fluoxetine.,Moderada,81
Lovastatin,Chloramphenicol,The serum concentration of Chloramphenicol can be increased when it is combined with Lovastatin.,Moderada,96
Dihydroergotamine,Chloramphenicol,The risk or severity of adverse effects can be increased when Dihydroergotamine is combined with Chloramphenicol.,Moderada,113
Quetiapine,Chloramphenicol,The metabolism of Chloramphenicol can be decreased when combined with Quetiapine.,Moderada,81
Thioridazine,Chloramphenicol,The metabolism of Chloramphenicol can be decreased when combined with Thioridazine.,Moderada,83
Methadone,Chloramphenicol,The metabolism of Chloramphenicol can be decreased when combined with Methadone.,Moderada,80
Haloperidol,Chloramphenicol,The metabolism of Chloramphenicol can be decreased when combined with Haloperidol.,Moderada,82
Cyclosporine,Chloramphenicol,The serum concentration of Chloramphenicol can be increased when it is combined with Cyclosporine.,Moderada,98
Promazine,Chloramphenicol,The metabolism of Chloramphenicol can be decreased when combined with Promazine.,Moderada,80
Aprepitant,Chloramphenicol,The metabolism of Chloramphenicol can be decreased when combined with Aprepitant.,Moderada,81
Secobarbital,Chloramphenicol,The metabolism of Chloramphenicol can be decreased when combined with Secobarbital.,Moderada,83
Sildenafil,Chloramphenicol,The metabolism of Chloramphenicol can be decreased when combined with Sildenafil.,Moderada,81
Imipramine,Chloramphenicol,The metabolism of Chloramphenicol can be decreased when combined with Imipramine.,Moderada,81
Clomipramine,Chloramphenicol,The metabolism of Chloramphenicol can be decreased when combined with Clomipramine.,Moderada,83
Desipramine,Chloramphenicol,The metabolism of Chloramphenicol can be decreased when combined with Desipramine.,Moderada,82
Voriconazole,Chloramphenicol,The serum concentration of Chloramphenicol can be increased when it is combined with Voriconazole.,Moderada,98
Amitriptyline,Chloramphenicol,The metabolism of Chloramphenicol can be decreased when combined with Amitriptyline.,Moderada,84
Venlafaxine,Chloramphenicol,The metabolism of Chloramphenicol can be decreased when combined with Venlafaxine.,Moderada,82
Sertraline,Chloramphenicol,The metabolism of Chloramphenicol can be decreased when combined with Sertraline.,Moderada,81
Doxepin,Chloramphenicol,The metabolism of Chloramphenicol can be decreased when combined with Doxepin.,Moderada,78
Nelfinavir,Chloramphenicol,The metabolism of Chloramphenicol can be decreased when combined with Nelfinavir.,Moderada,81
Atomoxetine,Chloramphenicol,The metabolism of Chloramphenicol can be decreased when combined with Atomoxetine.,Moderada,82
Rifabutin,Trimethoprim,The metabolism of Trimethoprim can be increased when combined with Rifabutin.,Moderada,77
Phenytoin,Trimethoprim,The serum concentration of Trimethoprim can be increased when it is combined with Phenytoin.,Moderada,92
Rifampicin,Trimethoprim,The metabolism of Trimethoprim can be increased when combined with Rifampicin.,Moderada,78
Fosphenytoin,Trimethoprim,The serum concentration of Trimethoprim can be decreased when it is combined with Fosphenytoin.,Moderada,95
Carbamazepine,Trimethoprim,The metabolism of Trimethoprim can be increased when combined with Carbamazepine.,Moderada,81
Primidone,Trimethoprim,The metabolism of Trimethoprim can be increased when combined with Primidone.,Moderada,77
Phenobarbital,Trimethoprim,The metabolism of Trimethoprim can be increased when combined with Phenobarbital.,Moderada,81
Pentobarbital,Trimethoprim,The metabolism of Trimethoprim can be increased when combined with Pentobarbital.,Moderada,81
Nevirapine,Trimethoprim,The metabolism of Trimethoprim can be increased when combined with Nevirapine.,Moderada,78
Rifapentine,Trimethoprim,The metabolism of Trimethoprim can be increased when combined with Rifapentine.,Moderada,79
Bosentan,Trimethoprim,The serum concentration of Trimethoprim can be increased when it is combined with Bosentan.,Moderada,91
Crizotinib,Trimethoprim,Crizotinib may increase the QTc-prolonging activities of Trimethoprim.,Moderada,70
Nilotinib,Trimethoprim,Nilotinib may increase the QTc-prolonging activities of Trimethoprim.,Moderada,69
Doxorubicin,Trimethoprim,The serum concentration of Trimethoprim can be increased when it is combined with Doxorubicin.,Moderada,94
Dabrafenib,Trimethoprim,The serum concentration of Trimethoprim can be decreased when it is combined with Dabrafenib.,Moderada,93
Deferasirox,Trimethoprim,The serum concentration of Trimethoprim can be decreased when it is combined with Deferasirox.,Moderada,94
Conivaptan,Trimethoprim,The serum concentration of Trimethoprim can be increased when it is combined with Conivaptan.,Moderada,93
Vemurafenib,Trimethoprim,The serum concentration of Trimethoprim can be decreased when it is combined with Vemurafenib.,Moderada,94
Azelastine,Trimethoprim,The metabolism of Trimethoprim can be decreased when combined with Azelastine.,Moderada,78
Quinine,Trimethoprim,Quinine may increase the QTc-prolonging activities of Trimethoprim.,Moderada,67
Chloroquine,Trimethoprim,Chloroquine may increase the QTc-prolonging activities of Trimethoprim.,Moderada,71
Celecoxib,Trimethoprim,The metabolism of Trimethoprim can be decreased when combined with Celecoxib.,Moderada,77
Quinidine,Trimethoprim,Quinidine may increase the QTc-prolonging activities of Trimethoprim.,Moderada,69
Ranolazine,Trimethoprim,The serum concentration of Trimethoprim can be increased when it is combined with Ranolazine.,Moderada,93
Citalopram,Trimethoprim,Citalopram may increase the QTc-prolonging activities of Trimethoprim.,Moderada,70
Ziprasidone,Trimethoprim,Ziprasidone may increase the QTc-prolonging activities of Trimethoprim.,Moderada,71
Dronedarone,Trimethoprim,Dronedarone may increase the QTc-prolonging activities of Trimethoprim.,Moderada,71
Fluoxetine,Trimethoprim,Fluoxetine may increase the QTc-prolonging activities of Trimethoprim.,Moderada,70
Quetiapine,Trimethoprim,Quetiapine may increase the QTc-prolonging activities of Trimethoprim.,Moderada,70
Thioridazine,Trimethoprim,Thioridazine may increase the QTc-prolonging activities of Trimethoprim.,Moderada,72
Methadone,Trimethoprim,Methadone may increase the QTc-prolonging activities of Trimethoprim.,Moderada,69
Haloperidol,Trimethoprim,Haloperidol may increase the QTc-prolonging activities of Trimethoprim.,Moderada,71
Erythromycin,Trimethoprim,Erythromycin may increase the QTc-prolonging activities of Trimethoprim.,Moderada,72
Clozapine,Trimethoprim,Clozapine may increase the QTc-prolonging activities of Trimethoprim.,Moderada,69
Chlorpromazine,Trimethoprim,The serum concentration of Trimethoprim can be increased when it is combined with Chlorpromazine.,Moderada,97
Promazine,Trimethoprim,The serum concentration of Trimethoprim can be increased when it is combined with Promazine.,Moderada,92
Secobarbital,Trimethoprim,The metabolism of Trimethoprim can be increased when combined with Secobarbital.,Moderada,80
Morphine,Trimethoprim,The metabolism of Trimethoprim can be decreased when combined with Morphine.,Moderada,76
Losartan,Trimethoprim,Losartan may increase the hyperkalemic activities of Trimethoprim.,Moderada,66
Amitriptyline,Trimethoprim,The metabolism of Trimethoprim can be decreased when combined with Amitriptyline.,Moderada,81
Sertraline,Trimethoprim,The metabolism of Trimethoprim can be decreased when combined with Sertraline.,Moderada,78
Doxepin,Trimethoprim,The metabolism of Trimethoprim can be decreased when combined with Doxepin.,Moderada,75
Phenytoin,Pyrimethamine,The metabolism of Pyrimethamine can be decreased when combined with Phenytoin.,Moderada,78
Rifampicin,Pyrimethamine,The metabolism of Pyrimethamine can be decreased when combined with Rifampicin.,Moderada,79
Fosphenytoin,Pyrimethamine,The metabolism of Pyrimethamine can be decreased when combined with Fosphenytoin.,Moderada,81
Phenobarbital,Pyrimethamine,The metabolism of Pyrimethamine can be decreased when combined with Phenobarbital.,Moderada,82
Nevirapine,Pyrimethamine,The metabolism of Pyrimethamine can be decreased when combined with Nevirapine.,Moderada,79
Bosentan,Pyrimethamine,The serum concentration of Pyrimethamine can be increased when it is combined with Bosentan.,Moderada,92
Bortezomib,Pyrimethamine,The metabolism of Pyrimethamine can be decreased when combined with Bortezomib.,Moderada,79
Metoprolol,Pyrimethamine,The serum concentration of Pyrimethamine can be increased when it is combined with Metoprolol.,Moderada,94
Diltiazem,Pyrimethamine,The metabolism of Pyrimethamine can be decreased when combined with Diltiazem.,Moderada,78
Verapamil,Pyrimethamine,The metabolism of Pyrimethamine can be decreased when combined with Verapamil.,Moderada,78
Vemurafenib,Pyrimethamine,The risk or severity of QTc prolongation can be increased when Vemurafenib is combined with Pyrimethamine.,Moderada,106
Azelastine,Pyrimethamine,The metabolism of Pyrimethamine can be decreased when combined with Azelastine.,Moderada,79
Sulfisoxazole,Pyrimethamine,The metabolism of Pyrimethamine can be decreased when combined with Sulfisoxazole.,Moderada,82
Quinine,Pyrimethamine,The metabolism of Pyrimethamine can be decreased when combined with Quinine.,Moderada,76
Celecoxib,Pyrimethamine,The metabolism of Pyrimethamine can be decreased when combined with Celecoxib.,Moderada,78
Quinidine,Pyrimethamine,The metabolism of Pyrimethamine can be decreased when combined with Quinidine.,Moderada,78
Amiodarone,Pyrimethamine,The metabolism of Pyrimethamine can be decreased when combined with Amiodarone.,Moderada,79
Fluoxetine,Pyrimethamine,The metabolism of Pyrimethamine can be decreased when combined with Fluoxetine.,Moderada,79
Thioridazine,Pyrimethamine,The serum concentration of Pyrimethamine can be increased when it is combined with Thioridazine.,Moderada,96
Methadone,Pyrimethamine,The metabolism of Pyrimethamine can be decreased when combined with Methadone.,Moderada,78
Haloperidol,Pyrimethamine,The metabolism of Pyrimethamine can be decreased when combined with Haloperidol.,Moderada,80
Clozapine,Pyrimethamine,The metabolism of Pyrimethamine can be decreased when combined with Clozapine.,Moderada,78
Chlorpromazine,Pyrimethamine,The serum concentration of Pyrimethamine can be increased when it is combined with Chlorpromazine.,Moderada,98
Promazine,Pyrimethamine,The serum concentration of Pyrimethamine can be increased when it is combined with Promazine.,Moderada,93
Sildenafil,Pyrimethamine,The metabolism of Pyrimethamine can be decreased when combined with Sildenafil.,Moderada,79
Losartan,Pyrimethamine,The metabolism of Pyrimethamine can be decreased when combined with Losartan.,Moderada,77
Voriconazole,Pyrimethamine,The metabolism of Pyrimethamine can be decreased when combined with Voriconazole.,Moderada,81
Amitriptyline,Pyrimethamine,The metabolism of Pyrimethamine can be decreased when combined with Amitriptyline.,Moderada,82
Venlafaxine,Pyrimethamine,The metabolism of Pyrimethamine can be decreased when combined with Venlafaxine.,Moderada,80
Sertraline,Pyrimethamine,The metabolism of Pyrimethamine can be decreased when combined with Sertraline.,Moderada,79
Doxepin,Pyrimethamine,The metabolism of Pyrimethamine can be decreased when combined with Doxepin.,Moderada,76
Atazanavir,Pyrimethamine,The metabolism of Pyrimethamine can be decreased when combined with Atazanavir.,Moderada,79
Phenytoin,Eslicarbazepine acetate,The serum concentration of Eslicarbazepine acetate can be decreased when it is combined with Phenytoin.,Moderada,103
Fosphenytoin,Eslicarbazepine acetate,The serum concentration of Eslicarbazepine acetate can be decreased when it is combined with Fosphenytoin.,Moderada,106
Carbamazepine,Eslicarbazepine acetate,The risk or severity of adverse effects can be increased when Carbamazepine is combined with Eslicarbazepine acetate.,Moderada,117
Primidone,Eslicarbazepine acetate,The serum concentration of Eslicarbazepine acetate can be decreased when it is combined with Primidone.,Moderada,103
Phenobarbital,Eslicarbazepine acetate,The serum concentration of Eslicarbazepine acetate can be decreased when it is combined with Phenobarbital.,Moderada,107
Pentobarbital,Eslicarbazepine acetate,The metabolism of Eslicarbazepine acetate can be decreased when combined with Pentobarbital.,Moderada,92
Bortezomib,Eslicarbazepine acetate,The metabolism of Eslicarbazepine acetate can be decreased when combined with Bortezomib.,Moderada,89
Metoprolol,Eslicarbazepine acetate,The metabolism of Eslicarbazepine acetate can be decreased when combined with Metoprolol.,Moderada,89
Diltiazem,Eslicarbazepine acetate,The metabolism of Eslicarbazepine acetate can be decreased when combined with Diltiazem.,Moderada,88
Verapamil,Eslicarbazepine acetate,The metabolism of Eslicarbazepine acetate can be decreased when combined with Verapamil.,Moderada,88
Azelastine,Eslicarbazepine acetate,The metabolism of Eslicarbazepine acetate can be decreased when combined with Azelastine.,Moderada,89
Quinine,Eslicarbazepine acetate,The metabolism of Eslicarbazepine acetate can be decreased when combined with Quinine.,Moderada,86
Citalopram,Eslicarbazepine acetate,The serum concentration of Eslicarbazepine acetate can be increased when it is combined with Citalopram.,Moderada,104
Amiodarone,Eslicarbazepine acetate,The metabolism of Eslicarbazepine acetate can be decreased when combined with Amiodarone.,Moderada,89
Clarithromycin,Eslicarbazepine acetate,The metabolism of Eslicarbazepine acetate can be decreased when combined with Clarithromycin.,Moderada,93
Fluoxetine,Eslicarbazepine acetate,The metabolism of Eslicarbazepine acetate can be decreased when combined with Fluoxetine.,Moderada,89
Quetiapine,Eslicarbazepine acetate,The metabolism of Eslicarbazepine acetate can be decreased when combined with Quetiapine.,Moderada,89
Thioridazine,Eslicarbazepine acetate,The metabolism of Eslicarbazepine acetate can be decreased when combined with Thioridazine.,Moderada,91
Methadone,Eslicarbazepine acetate,The metabolism of Eslicarbazepine acetate can be decreased when combined with Methadone.,Moderada,88
Haloperidol,Eslicarbazepine acetate,The metabolism of Eslicarbazepine acetate can be decreased when combined with Haloperidol.,Moderada,90
Clozapine,Eslicarbazepine acetate,The metabolism of Eslicarbazepine acetate can be decreased when combined with Clozapine.,Moderada,88
Promazine,Eslicarbazepine acetate,The metabolism of Eslicarbazepine acetate can be decreased when combined with Promazine.,Moderada,88
Aprepitant,Eslicarbazepine acetate,The metabolism of Eslicarbazepine acetate can be decreased when combined with Aprepitant.,Moderada,89
Sildenafil,Eslicarbazepine acetate,The metabolism of Eslicarbazepine acetate can be decreased when combined with Sildenafil.,Moderada,89
Imipramine,Eslicarbazepine acetate,The metabolism of Eslicarbazepine acetate can be decreased when combined with Imipramine.,Moderada,89
Clomipramine,Eslicarbazepine acetate,The metabolism of Eslicarbazepine acetate can be decreased when combined with Clomipramine.,Moderada,91
Desipramine,Eslicarbazepine acetate,The metabolism of Eslicarbazepine acetate can be decreased when combined with Desipramine.,Moderada,90
Ticlopidine,Eslicarbazepine acetate,The metabolism of Eslicarbazepine acetate can be decreased when combined with Ticlopidine.,Moderada,90
Voriconazole,Eslicarbazepine acetate,The metabolism of Eslicarbazepine acetate can be decreased when combined with Voriconazole.,Moderada,91
